快速导航,Quick navigation
顶部,Top
首页,Homepage
搜索,Search
分类,Category
购物车,Cart
个人中心,Me
商品,Item
详情,Product details
评论,Customer reviews  
视频,Video
距促销结束还剩,Offer ends in
自营,Self-sale
可用积分,Available reward points
销量,Sales
当前库存,In stock
价格阶梯,Price tie
更多,Show More Details
数量,Quantity
优惠价格,Special offer
优惠套装,Combo offer
最高优惠,Save up to XXX off
元,Yuan
促销,Promotion
满赠,Gift with purchase of XXX
立减,XXX Discount/off
折扣,Discount
团购,Group purchase
拍卖,Auction
满减,Buy XXX get XX discount
领取优惠券,Get coupon
送至,Delivery to 
运费,Shipping fee
包邮,Free shipping
免运费,Free shipping
该地区不支持配送,Delivery service is not available in this region.
默认仓库,Default warehouse
已选,Selected
门店服务,Offline store service
门店自提,Offline pickup service
可选择门店,Available offline store
服务,Service
由,From
发货并提供售后服务,Deliver items and offer aftersale service
正品保证,Authentic guaranteed
包退服务,Return service
闪速配送,Fast delivery
网友讨论圈,Discussion
商品反馈,Item feedback
用户评价,Customer reviews
好评率,Positive comment ratings
人评论,XXX customer reviews
有图评价,Comments with images
全部评价,Customer reviews
人关注,XXX followers
分,Minute
时效,Time limit
关联商品,Related to items you viewed
上拉查看图文详情,pull up to show Graphic details
下拉回到商品信息,pull down to get back to product information
商品详情,Product details
规格参数,Specifications
亲,Hi
此处没有内容,There is no content here.
猜你喜欢,You may like
库存,Stock
有属性图片,Have property pictures
没属性图片,No property pictures
复选,Check
暂时下架,Currently unavailable
暂时缺货,Temporarily out of stock
立即购买,Shop Now
加入购物车,Add to cart
确认,Confirm
悬浮,Float
客服,Customer service
收藏,Add to list
店铺,Shop
仓库,Warehouse
关闭,Close
服务信息,Service information
服务说明,Service description
元可用,yuan available
至,to
已领取,Coupon received
已抢完,There is no coupon now
立即,Now
领取,Get
全部优惠券,All coupons
选择门店,Select an offline store
所在地区,Your location
请选择,Please select
查看路线,Check the route
到店时间,Appointment time
手机号码,Phone number
输入手机号码,Enter your phone number
马上自提,Pickup now
信息提示,Information tips
图片,Images
地区选择,Select a location
快捷导航,Quick navigation
分享,Share
优惠券,Coupon
首次加载,First load
倒计时,Countdown
相册,Album
验证登录,Verify login
请先登录,"Login,please"
确定,Confirm
取消,Cancel
选择地区,Select a location
自提,Pickup
请选择门店,Select an offline store
请填写手机号码,Enter your phone number
时间日期,Date
购买数量,Quantity
并且必须为整数,Must be an integer
限购,Purchase limits
不能超过限购数量,Item quantity cannot exceed the limit
属性图片,Property pictures
用户可购买的数量,The amount that customers can purchase
该地区暂不支持配送,Delivery service is not available in this region.
总价,Total
禁止,Forbid
详情上拉等,Pull up to get detail
服务电话,Telephone
营业时间,Opening hours
门店地址,Offline store address
请选择配送地址,Please select shipping address
默认,Default
商品信息,Product information
小于,Less than
件仅显示图片,pieces that only show pictures
活动商品,Special offers
配件标识,Accessories identification
赠品,Gift
赠品标识,Gift identification
普通商品,General Goods
优惠活动商品,Special offers
大于,More than
件,Piece
商品列表,Product catalog
该地区支持配送,Delivery service is available in this region.
优惠活动商品结束,Special offers are not available now
赠品结束,Gift is unavailable
共,Total
超级礼包,Gift packs
套餐价,Combo price
已优惠,Coupon applied
含商品,Item included 
配送方式,Delivery method
未设置,Not set
自营商家有自提点,Self-sale merchants have pickup locations.
自营商家,Self-sale merchants
上门自提,Pickup
自提点,Pickup locations
地址,Address
电话,Telephone
自提日期,Date for Pickup
